Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,7312492100,2,7,2,5,1,0
1,13664307600,3,0,1,2,2,0
2,5293355000,6,7,6,5,1,0
3,10275525800,6,0,6,2,1,1
4,5551157700,4,7,4,5,1,0
5,9401902900,4,0,7,3,3,1
6,8792044200,3,7,3,6,1,0
7,14483437700,1,0,3,2,3,1
8,18315028700,3,6,0,3,3,0
9,8233026800,1,2,5,2,0,1
10,9205428600,0,3,1,2,2,1
11,10418767200,5,2,4,1,3,0
12,13911085400,6,2,2,2,0,0
13,11572060100,2,2,5,2,0,1
14,10732343700,6,5,6,7,1,1
15,5247014400,4,1,4,4,1,1
16,7084060000,4,4,2,2,3,0
17,7088437400,2,2,0,4,2,0
18,3505665400,6,7,6,6,1,0
19,5132315200,4,5,5,4,2,1
20,7459522500,3,2,3,3,1,1
21,12189254900,5,4,4,5,2,0
22,8930179600,3,3,5,3,0,1
23,5265965100,4,5,4,4,1,0
24,2312855000,1,2,4,2,0,1
25,2457473100,4,2,4,4,1,1
26,2459462700,5,2,5,3,1,1
27,2583133200,6,6,5,6,0,0
28,1884998000,4,4,3,3,3,0
29,1992671800,5,6,6,6,0,1
30,3297183900,3,3,1,3,0,0
31,3190469100,2,5,3,6,3,1
32,3034885100,5,3,3,3,0,0
33,1852088000,3,6,4,5,2,1
34,1881968400,1,3,1,1,1,0
35,4746345500,4,5,5,4,2,1
36,1995702800,5,4,4,5,2,0
37,5486330100,4,5,5,6,3,1
38,5363216700,5,6,4,5,3,0
39,6572403400,4,5,5,4,2,1
40,3021274900,5,4,6,3,2,1
41,3251307900,3,3,4,2,2,1
42,2861256700,1,7,1,5,1,0
43,5267270400,4,2,4,1,1,0
44,2799515500,6,3,7,3,0,1
45,2760156800,7,3,6,4,2,0
46,2532230200,6,4,6,2,1,0
47,6176486100,1,5,2,4,2,1
48,2264984600,4,1,6,1,0,1
