Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,6814989700,0,2,2,0,2,1
1,5399562400,7,2,5,0,3,0
2,1764100200,7,5,5,7,2,0
3,2266560900,0,3,2,5,3,1
4,5540036300,7,1,7,5,1,1
5,3241450200,0,4,2,6,3,1
6,6230380300,2,6,5,3,2,1
7,1805175200,5,7,5,4,1,0
8,1943411700,7,6,4,3,3,0
9,3022834400,4,3,1,0,3,0
10,2368668800,0,1,2,1,0,1
11,2110358600,1,0,0,1,2,0
12,3778897800,7,4,6,3,3,0
13,3516238200,5,0,5,3,1,1
14,5453975900,0,1,1,0,2,1
15,1649588700,2,1,5,4,3,1
16,2023316200,5,4,5,6,1,1
17,1795202000,0,6,1,7,3,1
18,2257737900,1,7,0,6,3,0
19,3893022000,5,3,2,3,0,0
20,2380636300,7,3,6,4,2,0
21,2899188900,0,6,1,7,3,1
22,3498593900,2,3,0,1,3,0
23,5030548900,5,6,5,7,1,1
24,2550947600,1,7,0,6,3,0
25,4956140700,5,7,6,7,0,1
26,3204433200,6,3,5,4,2,0
27,4090015900,7,5,7,6,1,1
28,2692115700,5,4,6,3,2,1
29,14057613100,7,6,7,5,1,0
30,3180497700,2,0,2,1,1,1
31,5232048500,0,1,0,3,1,1
32,3656241100,6,4,7,4,0,1
33,7350347500,0,6,1,5,2,1
34,4856016100,1,5,1,2,1,0
35,3010951300,7,5,6,4,3,0
36,3308434200,7,4,6,5,2,0
37,2917233700,0,3,0,4,1,1
38,3089777100,6,4,6,0,1,0
39,2466405200,6,5,4,3,3,0
40,4958743300,6,0,4,0,0,0
41,4872029800,4,0,2,0,0,0
