Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,2288413500,2,7,4,5,2,1
1,3505693500,4,5,4,2,1,0
2,2338790600,4,0,4,3,1,1
3,2631803500,4,3,1,3,0,0
4,3288024400,3,0,5,2,3,1
5,2046175800,5,2,3,0,3,0
6,1672182700,3,0,5,2,3,1
7,1849662500,6,7,6,5,1,0
8,2224126800,5,7,3,5,3,0
9,1466945000,3,7,0,7,0,0
10,1318718300,5,0,4,1,2,0
11,1991291000,4,1,5,0,2,1
12,1657954800,3,5,3,6,1,1
13,1402042500,2,0,4,2,3,1
14,1423650300,6,0,7,1,3,1
15,1546206300,3,6,6,6,0,1
16,1834265000,0,7,3,7,0,1
17,2063782700,7,1,7,3,1,1
18,1852962500,5,0,4,1,2,0
19,1982059700,1,0,0,1,2,0
20,2060403900,4,7,7,7,0,1
21,2241348400,1,7,0,6,3,0
22,1964903800,6,6,7,5,2,1
23,2875711000,4,1,6,1,0,1
24,2404847800,6,5,4,7,2,0
25,3730284600,7,3,7,6,1,1
26,2322991200,7,6,7,3,1,0
27,2067127900,0,6,1,7,3,1
28,2460551400,1,3,0,4,2,0
29,2113356200,1,7,5,7,0,1
30,3594229200,7,3,7,0,1,0
31,1652174900,3,7,5,5,2,1
32,1747791700,7,5,7,2,1,0
33,1894435000,7,2,5,2,0,0
34,2230167700,7,0,5,0,0,0
35,2140279800,5,5,3,7,2,0
36,1723336100,7,7,2,7,0,0
37,2152861200,5,2,7,2,0,1
38,2133878300,5,0,3,2,2,0
39,2385038800,0,4,2,6,3,1
40,3104617700,7,2,7,1,1,0
41,6752284300,3,2,4,3,3,1
42,4526892300,6,1,6,2,1,1
43,1599845200,4,3,5,4,3,1
44,1638143900,2,7,7,7,0,1
45,1584855800,5,7,3,5,3,0
46,1280424600,5,4,3,6,2,0
47,1260939700,3,6,4,5,2,1
48,1429769800,4,5,5,4,2,1
49,1566250000,5,4,5,2,1,0
50,1678832500,5,2,7,0,2,1
51,1321565100,3,7,3,6,1,0
52,1659150400,7,1,6,0,3,0
53,1724781700,3,6,4,5,2,1
54,1721629800,4,5,3,6,2,0
55,1957437000,7,0,7,3,1,1
56,1776037400,3,6,0,6,0,0
57,1774934900,2,6,3,7,3,1
58,1230927800,7,7,5,5,3,0
59,1497849200,5,5,7,7,3,1
60,1575958600,6,2,7,2,0,1
61,1271964700,7,3,5,5,2,0
62,1579893200,0,6,2,4,2,1
63,2102342100,3,7,2,6,3,0
64,1627375700,6,0,6,2,1,1
65,1777865100,5,5,6,4,2,1
66,1827886300,2,4,0,2,3,0
67,2342584000,0,2,1,1,2,1
68,1797284700,6,2,5,2,0,0
69,2015287000,2,6,1,5,3,0
70,2106202900,1,5,2,6,3,1
71,1882388900,6,4,7,5,3,1
72,1535813700,1,1,3,3,3,1
73,1393854400,7,5,6,4,3,0
74,1903082400,3,3,4,2,2,1
75,1704320900,2,6,2,4,1,0
76,3863991000,2,4,5,4,0,1
77,9862822600,7,7,7,6,1,0
78,2129405500,4,2,4,1,1,0
79,1475671500,4,1,4,0,1,0
80,1975418500,5,4,2,1,3,0
81,1356608000,2,1,4,3,3,1
82,1995944700,4,3,5,3,0,1
83,1007467800,4,0,3,0,0,0
84,961766200,5,3,5,2,1,0
85,1356794800,7,6,6,6,0,0
86,866695700,5,2,5,1,1,0
87,2521509100,5,1,6,1,0,1
88,2263704100,6,6,5,6,0,0
89,2208961600,5,6,5,7,1,1
90,899494100,3,0,2,0,0,0
91,1243093000,6,1,7,1,0,1
92,2477793500,5,7,3,7,0,0
93,1447354400,2,0,3,0,0,1
94,763839100,7,1,6,0,3,0
95,743568900,3,0,4,1,3,1
96,1900868300,3,7,4,6,2,1
97,1193923200,4,6,5,7,3,1
98,1636338500,5,7,6,7,0,1
99,897775200,4,1,3,2,2,0
100,1145791400,3,2,3,3,1,1
101,1064788200,6,0,7,1,3,1
102,1303664500,3,3,2,2,3,0
103,1064977600,2,2,3,3,3,1
104,2184067000,3,3,5,3,0,1
105,1613209800,5,3,6,3,0,1
106,1065032400,7,1,7,2,1,1
107,683399100,7,2,7,1,1,0
