Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,1634155600,3,7,3,5,1,0
1,1163208500,2,7,7,7,0,1
2,809120100,6,7,6,5,1,0
3,856855000,1,0,1,2,1,1
4,854035000,6,0,6,2,1,1
5,812442800,6,5,6,3,1,0
6,891512400,1,7,1,5,1,0
7,1137087500,3,0,5,2,3,1
8,1435064500,5,2,2,2,0,0
9,1135729600,5,0,6,1,3,1
10,1317448000,6,1,3,4,2,0
11,1427454200,6,3,6,1,1,0
12,1047792100,2,2,2,5,1,1
13,870878400,6,2,6,4,1,1
14,899489300,3,4,1,4,0,0
15,999214600,5,7,2,7,0,0
16,1124095100,2,7,1,6,3,0
17,869463400,2,5,5,2,2,1
18,1042114000,1,4,3,4,0,1
19,1190238400,6,4,4,6,2,0
20,946689100,1,6,1,3,1,0
21,873950400,6,1,7,2,3,1
22,664325100,3,4,2,4,0,0
23,571006300,5,2,6,1,2,1
24,608088800,2,4,2,5,1,1
25,629583400,4,6,4,4,1,0
26,778741100,6,1,6,2,1,1
27,709291300,1,2,2,1,2,1
28,728376300,2,5,1,4,3,0
29,766248900,1,4,1,7,1,1
30,580162000,1,7,5,3,2,1
31,552095400,4,4,4,5,1,1
32,557976000,4,5,2,7,2,0
33,422679700,6,2,6,3,1,1
34,330940100,6,3,7,4,3,1
35,362554000,2,1,5,1,0,1
36,336416900,7,4,6,3,3,0
37,570027600,2,7,2,6,1,0
38,656329500,2,6,0,4,3,0
39,398113100,6,3,4,5,2,0
40,548234200,5,1,4,0,3,0
41,475216300,4,5,6,3,2,1
42,372854200,4,0,2,2,2,0
43,310017500,6,3,4,5,2,0
44,466124800,4,5,6,3,2,1
45,349908500,6,3,7,4,3,1
46,349153200,2,2,4,4,3,1
47,474086700,7,4,6,3,3,0
48,479496200,6,3,5,2,3,0
49,512877500,4,4,5,3,2,1
50,232864800,0,4,1,3,2,1
51,325773600,5,2,3,4,2,0
52,305686700,1,3,2,2,2,1
53,2992200,3,4,3,3,1,0
