Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,1037128900,7,2,5,0,3,0
1,694111700,7,5,5,7,2,0
2,1869056700,5,7,3,5,3,0
3,2501076400,3,5,0,5,0,0
4,1391832100,0,1,3,4,3,1
5,1509654100,0,6,2,4,2,1
6,1484162700,7,1,6,1,0,0
7,736905500,0,5,3,5,0,1
8,1955238000,6,1,4,1,0,0
9,1313929200,7,4,3,4,0,0
10,3224988800,5,0,6,1,3,1
11,1272918300,6,1,4,1,0,0
12,1737278200,7,3,5,3,0,0
13,1601159100,5,3,3,1,3,0
14,1076450200,4,1,5,0,2,1
15,1787830600,3,4,3,0,1,0
16,2244704700,7,6,4,3,3,0
17,1823759000,2,4,4,2,2,1
18,1430594400,5,0,3,2,2,0
19,1105025700,4,3,1,0,3,0
20,995253200,3,2,2,3,2,0
