Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,25946500,3,0,1,2,2,0
1,22922800,5,7,3,5,3,0
2,25912100,4,7,2,5,3,0
3,26920400,5,0,5,3,1,1
4,26916400,4,0,4,1,1,1
5,28957000,4,1,4,2,1,1
6,27939500,3,5,4,6,3,1
7,25945200,2,7,4,5,2,1
8,23920700,5,3,2,6,2,0
9,22924200,3,7,1,5,3,0
10,21923500,2,6,4,4,2,1
11,91694400,1,7,3,5,2,1
12,20933700,1,5,2,6,3,1
13,22922200,3,5,1,3,3,0
14,24965300,4,6,2,4,3,0
15,25912400,4,5,6,3,2,1
16,22922000,1,2,4,5,3,1
17,22972500,2,0,0,2,2,0
18,20972000,6,3,6,6,1,1
19,22924100,6,6,4,4,3,0
20,27884600,4,5,2,7,2,0
21,23936300,6,0,7,1,3,1
22,22923800,0,2,3,5,3,1
23,22925500,6,7,6,6,1,0
24,21974000,1,3,1,6,1,1
25,22921900,6,6,3,6,0,0
26,25914200,1,0,1,3,1,1
27,22973900,7,1,7,0,1,0
