Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,22903600,7,5,5,3,3,0
1,17491100,0,4,2,6,3,1
2,14322000,0,2,2,2,0,1
3,19083200,7,3,5,5,2,0
4,20034200,7,2,5,4,2,0
5,16436000,0,1,2,3,3,1
6,17090600,2,3,5,3,0,1
7,26302000,0,6,2,4,2,1
8,27156500,5,3,5,5,1,1
9,26834000,7,1,7,4,1,1
10,23384000,2,4,4,4,0,1
11,17655800,2,6,4,6,0,1
12,18835300,4,4,2,6,2,0
13,16523100,7,4,6,4,0,0
14,10468800,4,6,4,4,1,0
15,6453800,7,6,7,5,1,0
16,8292400,2,6,1,5,3,0
17,7581600,1,5,2,4,2,1
18,2153900,7,5,5,5,0,0
19,8617800,5,5,3,5,0,0
