Move,Time of computation,row, col, new_row, new_col, orientation, direction
0,3465725700,7,4,5,6,2,0
1,3776933100,0,6,2,4,2,1
2,2076449300,0,2,2,0,2,1
3,4740371700,7,2,5,0,3,0
4,4248640600,7,6,6,7,2,0
5,2806495900,5,6,4,6,0,0
6,3843762800,4,6,7,3,2,1
7,3923268900,5,0,5,2,1,1
8,4792185800,7,1,6,0,3,0
9,7925808300,2,0,4,0,0,1
10,2113350500,0,5,1,6,3,1
11,3134661400,7,5,5,7,2,0
12,3586513100,2,4,2,2,1,0
13,4950800900,1,6,0,6,0,0
14,3932524500,6,0,4,2,2,0
15,5987697900,4,2,6,0,2,1
16,5691821300,4,0,2,2,2,0
17,10441932000,6,0,7,0,0,1
18,4520911500,0,1,0,4,1,1
19,3743989300,5,7,7,7,0,1
20,2249024300,0,6,2,6,0,1
21,1667264900,0,4,2,4,0,1
22,1944839600,7,3,5,3,0,0
23,1084102700,2,6,5,3,2,1
24,1905905600,5,3,4,2,3,0
25,2194132900,2,4,4,4,0,1
26,588466700,7,0,6,0,0,0
27,640287400,7,7,5,7,0,0
28,1130976300,6,0,7,1,3,1
29,1231707900,5,7,7,7,0,1
30,803887500,7,1,6,1,0,0
31,1181009900,7,7,5,7,0,0
32,1117056000,5,7,7,7,0,1
33,732044400,6,1,5,0,3,0
34,669247400,5,0,6,0,0,1
35,624369100,6,0,6,2,1,1
36,1201077000,6,2,5,2,0,0
37,791881000,5,2,6,3,3,1
38,1664589900,6,3,7,2,2,1
39,1754764700,7,2,6,2,0,0
40,846996400,6,2,5,2,0,0
41,882348600,5,2,6,1,2,1
42,746944600,6,1,5,0,3,0
43,1336670700,5,0,5,1,1,1
44,870672200,5,1,4,0,3,0
45,1236334700,7,7,7,5,1,0
46,686164500,4,0,3,1,2,0
47,1066149400,7,5,5,3,3,0
48,848731800,3,1,3,2,1,1
49,665221500,3,2,4,3,3,1
